barcode,productName,batchCode,expiryDate,quantity,price
P0001,Milk,B00001,2027-09-23,14,55000
P0001,Milk,B00002,2026-12-09,64,15000
P0001,Milk,B00003,2026-08-25,22,100000
P0001,Milk,B00004,2026-07-10,50,90000
P0001,Milk,B00005,2027-03-11,60,75000
P0001,Milk,B00006,2027-07-11,56,45000
P0001,Milk,B00007,2026-10-09,99,20000
P0001,Milk,B00008,2026-08-18,86,65000
P0001,Milk,B00009,2027-04-09,55,45000
P0001,Milk,B00010,2026-07-29,82,95000
P0001,Milk,B00011,2026-11-30,4,15000
P0001,Milk,B00012,2027-08-09,61,70000
P0001,Milk,B00013,2027-05-19,57,25000
P0001,Milk,B00014,2027-10-21,62,75000
P0001,Milk,B00015,2027-04-02,5,20000
P0001,Milk,B00016,2026-11-24,2,90000
P0001,Milk,B00017,2027-02-08,83,20000
P0001,Milk,B00018,2027-01-21,60,65000
P0001,Milk,B00019,2026-07-08,52,25000
P0001,Milk,B00020,2026-07-14,11,20000
P0001,Milk,B00021,2027-06-07,61,55000
P0001,Milk,B00022,2027-11-30,38,30000
P0001,Milk,B00023,2027-10-23,6,25000
P0001,Milk,B00024,2027-07-23,15,90000
P0001,Milk,B00025,2027-04-09,78,90000
P0001,Milk,B00026,2027-08-16,14,55000
P0001,Milk,B00027,2027-05-23,37,35000
P0001,Milk,B00028,2027-08-13,26,90000
P0001,Milk,B00029,2027-02-04,13,25000
P0001,Milk,B00030,2027-03-31,75,35000
P0001,Milk,B00031,2027-01-05,73,50000
P0001,Milk,B00032,2026-07-07,84,40000
P0001,Milk,B00033,2026-08-03,79,75000
P0001,Milk,B00034,2026-07-05,26,80000
P0001,Milk,B00035,2026-07-08,39,75000
P0001,Milk,B00036,2027-07-09,24,10000
P0001,Milk,B00037,2027-03-27,1,50000
P0001,Milk,B00038,2027-08-30,50,20000
P0001,Milk,B00039,2027-02-11,20,35000
P0001,Milk,B00040,2027-05-21,37,30000
P0001,Milk,B00041,2027-12-14,68,100000
P0001,Milk,B00042,2026-08-07,75,65000
P0001,Milk,B00043,2027-07-06,98,65000
P0001,Milk,B00044,2027-01-26,96,70000
P0001,Milk,B00045,2026-12-30,19,50000
P0001,Milk,B00046,2026-12-04,67,35000
P0001,Milk,B00047,2027-04-02,13,40000
P0001,Milk,B00048,2027-08-07,72,90000
P0001,Milk,B00049,2027-02-05,94,85000
P0001,Milk,B00050,2027-01-11,78,80000
P0001,Milk,B00051,2027-02-20,40,65000
