barcode,productName,batchCode,expiryDate,quantity,price
P0017,Egg,B00001,8/8/2027,37,15000
P0017,Egg,B00002,9/14/2027,99,35000
P0017,Egg,B00003,11/10/2027,33,10000
P0017,Egg,B00004,11/24/2027,53,65000
P0017,Egg,B00005,6/30/2027,61,70000
P0017,Egg,B00006,9/3/2026,50,75000
P0017,Egg,B00007,11/8/2026,88,90000
P0004,Tea,B00008,11/8/2027,14,50000
P0004,Tea,B00009,7/6/2026,22,10000
P0004,Tea,B00010,8/23/2026,88,30000
P0004,Tea,B00011,8/23/2026,93,75000
P0004,Tea,B00012,8/30/2027,9,85000
P0013,Noodles,B00013,8/19/2026,25,60000
P0013,Noodles,B00014,11/18/2027,98,10000
P0013,Noodles,B00015,7/22/2027,36,10000
P0008,Juice,B00016,5/16/2027,10,40000
P0008,Juice,B00017,5/18/2027,11,75000
P0008,Juice,B00018,7/7/2026,57,70000
P0008,Juice,B00019,6/26/2027,95,10000
P0008,Juice,B00020,11/27/2027,12,10000
P0008,Juice,B00021,8/29/2027,83,95000
P0016,Snack,B00022,12/9/2027,73,30000
P0016,Snack,B00023,12/20/2027,83,45000
P0016,Snack,B00024,11/10/2027,90,80000
P0016,Snack,B00025,10/23/2026,55,15000
P0016,Snack,B00026,11/24/2026,49,70000
P0016,Snack,B00027,8/26/2027,88,45000
P0002,Bread,B00028,9/3/2027,86,90000
P0002,Bread,B00029,9/10/2027,89,45000
P0002,Bread,B00030,12/10/2026,39,35000
P0002,Bread,B00031,4/15/2027,62,20000
P0011,Water,B00032,3/29/2027,70,70000
P0011,Water,B00033,9/16/2027,47,35000
P0011,Water,B00034,6/16/2027,71,100000
P0011,Water,B00035,5/8/2027,32,80000
P0018,Cheese,B00036,7/3/2026,27,35000
P0018,Cheese,B00037,10/19/2026,23,35000
P0018,Cheese,B00038,12/29/2027,98,40000
P0003,Coffee,B00039,4/10/2027,30,25000
P0003,Coffee,B00040,8/19/2026,87,95000
P0003,Coffee,B00041,6/26/2027,11,55000
P0003,Coffee,B00042,12/1/2026,92,85000
P0003,Coffee,B00043,12/21/2026,80,80000
P0019,Butter,B00044,7/25/2027,16,100000
P0019,Butter,B00045,8/29/2026,7,75000
P0019,Butter,B00046,7/5/2026,76,55000
P0019,Butter,B00047,7/8/2026,46,20000
P0019,Butter,B00048,7/29/2027,44,15000
P0012,Chocolate,B00049,11/29/2026,59,65000
P0012,Chocolate,B00050,7/29/2027,100,50000
P0012,Chocolate,B00051,7/8/2026,18,95000
P0012,Chocolate,B00052,7/9/2027,79,30000
P0012,Chocolate,B00053,1/1/2027,96,40000
P0012,Chocolate,B00054,5/17/2027,36,65000
P0012,Chocolate,B00055,9/11/2026,45,35000
P0009,Cake,B00056,10/2/2026,89,70000
P0009,Cake,B00057,4/3/2027,29,90000
P0009,Cake,B00058,7/5/2026,32,75000
P0009,Cake,B00059,4/14/2027,36,70000
P0006,Medicine,B00060,8/21/2026,67,45000
P0006,Medicine,B00061,9/13/2027,100,50000
P0006,Medicine,B00062,7/4/2026,71,95000
P0006,Medicine,B00063,10/31/2026,13,45000
P0006,Medicine,B00064,7/5/2026,48,90000
P0015,Shampoo,B00065,9/17/2027,79,35000
P0015,Shampoo,B00066,7/2/2026,46,60000
P0015,Shampoo,B00067,7/2/2026,6,35000
P0015,Shampoo,B00068,2/8/2027,13,90000
P0015,Shampoo,B00069,6/13/2027,91,60000
P0020,Sugar,B00070,4/26/2027,10,45000
P0020,Sugar,B00071,5/5/2027,99,95000
P0020,Sugar,B00072,5/26/2027,22,45000
P0020,Sugar,B00073,4/6/2027,73,75000
P0020,Sugar,B00074,12/22/2027,55,55000
P0020,Sugar,B00075,8/12/2026,4,70000
P0020,Sugar,B00076,11/10/2027,95,15000
P0014,Soap,B00077,6/15/2027,23,75000
P0014,Soap,B00078,2/17/2027,13,50000
P0014,Soap,B00079,4/11/2027,17,20000
P0014,Soap,B00080,11/18/2027,71,90000
P0014,Soap,B00081,1/1/2027,1,50000
P0005,Rice,B00082,3/25/2027,95,20000
P0005,Rice,B00083,10/21/2027,38,95000
P0005,Rice,B00084,9/25/2026,100,90000
P0005,Rice,B00085,7/12/2026,68,20000
P0005,Rice,B00086,11/17/2027,8,15000
P0007,Book,B00087,4/15/2027,92,85000
P0007,Book,B00088,5/24/2027,91,30000
P0007,Book,B00089,11/13/2027,27,30000
P0007,Book,B00090,1/9/2027,61,65000
P0007,Book,B00091,9/22/2026,45,75000
P0007,Book,B00092,2/27/2027,55,50000
P0001,Milk,B00093,7/28/2027,42,65000
P0001,Milk,B00094,9/8/2026,63,15000
P0001,Milk,B00095,10/25/2026,75,15000
P0010,Candy,B00096,12/25/2027,1,95000
P0010,Candy,B00097,9/5/2026,90,45000
P0010,Candy,B00098,1/26/2027,21,75000
P0010,Candy,B00099,9/24/2026,52,65000
P0010,Candy,B00100,12/19/2027,2,40000
