barcode,productName,batchCode,expiryDate,quantity,price
P0019,Butter,B00001,2026-11-21,48,70000
P0019,Butter,B00002,2027-10-30,10,10000
P0019,Butter,B00003,2027-01-06,98,95000
P0019,Butter,B00004,2026-12-20,57,10000
P0019,Butter,B00005,2027-05-20,66,55000
P0019,Butter,B00006,2026-09-25,87,70000
P0019,Butter,B00007,2027-08-10,53,60000
P0019,Butter,B00008,2026-10-03,15,20000
P0019,Butter,B00009,2026-07-28,57,100000
P0019,Butter,B00010,2027-02-19,99,55000
P0019,Butter,B00011,2027-08-12,71,30000
P0019,Butter,B00012,2026-12-23,1,25000
P0019,Butter,B00013,2026-07-08,44,30000
P0019,Butter,B00014,2027-02-18,90,25000
P0019,Butter,B00015,2027-01-11,25,35000
P0019,Butter,B00016,2027-12-23,47,95000
P0019,Butter,B00017,2027-02-23,24,25000
P0019,Butter,B00018,2026-07-04,87,25000
P0019,Butter,B00019,2027-03-19,5,25000
P0019,Butter,B00020,2026-07-25,28,60000
P0019,Butter,B00021,2026-07-04,20,70000
P0019,Butter,B00022,2026-07-08,9,20000
P0019,Butter,B00023,2026-08-30,11,100000
P0019,Butter,B00024,2027-04-20,26,45000
P0019,Butter,B00025,2027-12-21,2,25000
P0019,Butter,B00026,2027-06-28,77,20000
P0019,Butter,B00027,2027-02-08,48,35000
P0019,Butter,B00028,2026-12-16,38,60000
P0019,Butter,B00029,2027-04-05,44,100000
P0019,Butter,B00030,2027-03-09,48,25000
P0019,Butter,B00031,2027-12-27,50,60000
P0019,Butter,B00032,2027-10-25,4,80000
P0019,Butter,B00033,2027-02-22,30,25000
P0019,Butter,B00034,2026-07-04,34,25000
P0019,Butter,B00035,2026-07-03,52,45000
P0019,Butter,B00036,2026-07-18,41,15000
P0019,Butter,B00037,2027-06-17,89,85000
P0019,Butter,B00038,2026-07-07,96,25000
P0019,Butter,B00039,2027-10-14,18,20000
P0019,Butter,B00040,2027-01-21,90,45000
P0019,Butter,B00041,2027-06-21,6,65000
P0019,Butter,B00042,2027-05-31,75,75000
P0019,Butter,B00043,2027-05-24,85,30000
P0019,Butter,B00044,2027-01-24,68,100000
P0019,Butter,B00045,2027-08-10,96,55000
P0019,Butter,B00046,2027-10-12,64,50000
P0019,Butter,B00047,2026-07-13,37,10000
P0019,Butter,B00048,2027-04-30,26,25000
P0019,Butter,B00049,2027-11-04,16,100000
P0019,Butter,B00050,2026-07-03,50,20000
P0019,Butter,B00051,2027-08-18,23,55000
P0019,Butter,B00052,2027-07-06,85,75000
P0019,Butter,B00053,2026-07-31,86,25000
P0019,Butter,B00054,2026-08-26,36,25000
P0019,Butter,B00055,2027-05-03,6,45000
P0019,Butter,B00056,2027-10-22,91,20000
P0019,Butter,B00057,2027-01-29,15,10000
P0019,Butter,B00058,2026-07-17,4,85000
P0019,Butter,B00059,2027-03-13,75,90000
P0005,Rice,B00060,2027-10-08,30,50000
P0005,Rice,B00061,2027-03-03,11,20000
P0005,Rice,B00062,2027-05-05,78,25000
P0005,Rice,B00063,2026-07-07,5,30000
P0005,Rice,B00064,2027-04-13,3,25000
P0005,Rice,B00065,2026-11-09,48,15000
P0005,Rice,B00066,2026-11-24,48,35000
P0005,Rice,B00067,2027-07-28,6,55000
P0005,Rice,B00068,2027-07-28,11,20000
P0005,Rice,B00069,2027-05-10,12,55000
P0005,Rice,B00070,2026-07-30,33,40000
P0005,Rice,B00071,2027-01-26,83,15000
P0005,Rice,B00072,2027-12-06,83,45000
P0005,Rice,B00073,2026-07-04,36,95000
P0005,Rice,B00074,2027-10-09,29,60000
P0005,Rice,B00075,2027-03-23,78,70000
P0005,Rice,B00076,2027-09-29,50,45000
P0005,Rice,B00077,2027-11-26,16,90000
P0005,Rice,B00078,2027-11-16,65,95000
P0005,Rice,B00079,2027-04-14,37,50000
P0005,Rice,B00080,2026-12-29,91,85000
P0005,Rice,B00081,2026-10-10,86,30000
P0005,Rice,B00082,2027-08-27,50,95000
P0005,Rice,B00083,2027-10-06,34,30000
P0005,Rice,B00084,2026-08-26,37,25000
P0005,Rice,B00085,2027-12-01,14,15000
P0005,Rice,B00086,2026-09-01,87,50000
P0005,Rice,B00087,2027-12-29,48,90000
P0005,Rice,B00088,2027-07-22,29,75000
P0005,Rice,B00089,2027-07-13,48,55000
P0005,Rice,B00090,2027-08-04,84,80000
P0005,Rice,B00091,2027-11-13,8,50000
P0005,Rice,B00092,2026-09-11,58,80000
P0005,Rice,B00093,2027-04-20,74,90000
P0005,Rice,B00094,2026-09-09,19,90000
P0005,Rice,B00095,2027-09-23,83,60000
P0005,Rice,B00096,2027-06-26,92,20000
P0005,Rice,B00097,2026-12-20,78,35000
P0005,Rice,B00098,2027-08-29,99,95000
P0005,Rice,B00099,2027-11-06,65,80000
P0005,Rice,B00100,2027-03-03,75,10000
P0005,Rice,B00101,2027-06-23,92,25000
P0005,Rice,B00102,2026-10-27,1,90000
P0005,Rice,B00103,2027-08-02,15,50000
P0005,Rice,B00104,2026-09-27,28,25000
P0005,Rice,B00105,2027-05-02,86,95000
P0005,Rice,B00106,2027-03-17,33,30000
P0005,Rice,B00107,2027-03-09,87,20000
P0005,Rice,B00108,2026-07-28,98,60000
P0005,Rice,B00109,2026-07-09,28,10000
P0005,Rice,B00110,2027-04-10,98,100000
P0005,Rice,B00111,2027-02-06,92,60000
P0005,Rice,B00112,2027-10-04,17,80000
P0005,Rice,B00113,2026-12-24,78,70000
P0013,Noodles,B00114,2026-07-03,88,10000
P0013,Noodles,B00115,2027-07-03,57,95000
P0013,Noodles,B00116,2027-08-20,98,25000
P0013,Noodles,B00117,2027-12-25,75,25000
P0013,Noodles,B00118,2027-06-14,4,50000
P0013,Noodles,B00119,2027-04-18,86,85000
P0013,Noodles,B00120,2027-03-10,50,85000
P0013,Noodles,B00121,2026-12-16,57,80000
P0013,Noodles,B00122,2026-11-06,84,25000
P0013,Noodles,B00123,2027-03-09,17,45000
P0013,Noodles,B00124,2026-11-21,29,30000
P0013,Noodles,B00125,2026-09-23,18,75000
P0013,Noodles,B00126,2026-09-29,68,80000
P0013,Noodles,B00127,2027-09-07,90,15000
P0013,Noodles,B00128,2027-12-25,71,100000
P0013,Noodles,B00129,2027-04-01,60,45000
P0013,Noodles,B00130,2026-12-24,26,70000
P0013,Noodles,B00131,2027-09-20,27,80000
P0013,Noodles,B00132,2027-11-17,69,45000
P0013,Noodles,B00133,2026-07-08,50,65000
P0013,Noodles,B00134,2026-08-12,25,15000
P0013,Noodles,B00135,2027-10-06,35,15000
P0013,Noodles,B00136,2027-01-30,64,35000
P0013,Noodles,B00137,2027-06-30,6,70000
P0013,Noodles,B00138,2027-11-09,26,40000
P0013,Noodles,B00139,2027-11-02,3,90000
P0013,Noodles,B00140,2027-02-24,24,90000
P0013,Noodles,B00141,2027-12-21,11,85000
P0013,Noodles,B00142,2027-06-06,84,20000
P0013,Noodles,B00143,2027-06-12,89,20000
P0013,Noodles,B00144,2026-10-04,51,45000
P0013,Noodles,B00145,2027-12-25,8,100000
P0013,Noodles,B00146,2027-09-24,43,25000
P0013,Noodles,B00147,2026-07-02,27,80000
P0013,Noodles,B00148,2026-09-26,16,85000
P0013,Noodles,B00149,2027-03-22,36,85000
P0013,Noodles,B00150,2027-07-19,92,20000
P0013,Noodles,B00151,2027-11-20,27,75000
P0013,Noodles,B00152,2027-01-05,75,20000
P0013,Noodles,B00153,2026-09-30,43,15000
P0013,Noodles,B00154,2027-05-28,89,95000
P0013,Noodles,B00155,2027-05-24,66,10000
P0013,Noodles,B00156,2027-11-06,34,40000
P0013,Noodles,B00157,2027-01-18,43,65000
P0013,Noodles,B00158,2026-10-26,47,20000
P0013,Noodles,B00159,2026-09-02,32,20000
P0013,Noodles,B00160,2026-11-30,70,60000
P0013,Noodles,B00161,2026-12-10,56,75000
P0013,Noodles,B00162,2027-09-01,2,45000
P0013,Noodles,B00163,2027-08-12,56,90000
P0002,Bread,B00164,2027-08-20,46,70000
P0002,Bread,B00165,2027-05-11,100,40000
P0002,Bread,B00166,2027-04-02,63,95000
P0002,Bread,B00167,2026-11-29,84,85000
P0002,Bread,B00168,2027-10-13,34,10000
P0002,Bread,B00169,2026-12-11,55,55000
P0002,Bread,B00170,2027-03-02,14,30000
P0002,Bread,B00171,2027-02-13,82,80000
P0002,Bread,B00172,2026-09-30,49,35000
P0002,Bread,B00173,2026-07-02,2,40000
P0002,Bread,B00174,2027-09-19,45,30000
P0002,Bread,B00175,2027-08-16,15,20000
P0002,Bread,B00176,2026-08-07,2,40000
P0002,Bread,B00177,2027-12-12,83,40000
P0002,Bread,B00178,2027-09-02,70,35000
P0002,Bread,B00179,2027-09-30,8,100000
P0002,Bread,B00180,2027-01-15,54,40000
P0002,Bread,B00181,2026-08-17,13,20000
P0002,Bread,B00182,2026-08-23,88,70000
P0002,Bread,B00183,2026-11-07,43,10000
P0002,Bread,B00184,2026-08-13,90,75000
P0002,Bread,B00185,2026-09-29,65,60000
P0002,Bread,B00186,2027-07-08,15,65000
P0002,Bread,B00187,2026-09-30,42,90000
P0002,Bread,B00188,2027-02-09,31,30000
P0002,Bread,B00189,2026-07-04,46,65000
P0002,Bread,B00190,2026-12-01,19,55000
P0002,Bread,B00191,2027-10-16,45,70000
P0002,Bread,B00192,2027-12-25,42,10000
P0002,Bread,B00193,2026-12-17,21,70000
P0002,Bread,B00194,2027-04-02,12,80000
P0002,Bread,B00195,2027-07-20,23,25000
P0002,Bread,B00196,2026-07-02,49,75000
P0002,Bread,B00197,2026-07-22,88,60000
P0002,Bread,B00198,2026-08-24,72,90000
P0002,Bread,B00199,2027-08-08,14,60000
P0002,Bread,B00200,2027-02-07,52,30000
P0002,Bread,B00201,2026-10-28,40,90000
P0002,Bread,B00202,2027-01-11,1,80000
P0002,Bread,B00203,2026-12-16,79,40000
P0002,Bread,B00204,2027-08-05,84,50000
P0002,Bread,B00205,2026-07-18,33,80000
P0002,Bread,B00206,2026-07-25,46,45000
P0002,Bread,B00207,2026-12-30,72,50000
P0007,Book,B00208,2027-10-20,49,60000
P0007,Book,B00209,2027-09-21,81,20000
P0007,Book,B00210,2026-07-06,2,95000
P0007,Book,B00211,2027-01-10,79,15000
P0007,Book,B00212,2027-01-18,63,70000
P0007,Book,B00213,2027-01-04,95,30000
P0007,Book,B00214,2027-05-18,88,50000
P0007,Book,B00215,2026-10-29,4,45000
P0007,Book,B00216,2026-07-13,34,50000
P0007,Book,B00217,2026-12-18,94,45000
P0007,Book,B00218,2026-08-12,59,95000
P0007,Book,B00219,2027-01-18,32,95000
P0007,Book,B00220,2027-08-17,60,20000
P0007,Book,B00221,2027-11-29,26,65000
P0007,Book,B00222,2026-12-18,51,25000
P0007,Book,B00223,2027-11-26,12,35000
P0007,Book,B00224,2027-11-01,26,30000
P0007,Book,B00225,2027-06-19,55,45000
P0007,Book,B00226,2027-03-16,19,85000
P0007,Book,B00227,2027-03-19,79,55000
P0007,Book,B00228,2027-01-02,39,65000
P0007,Book,B00229,2027-07-12,6,100000
P0007,Book,B00230,2026-08-11,43,40000
P0007,Book,B00231,2026-10-01,11,30000
P0007,Book,B00232,2026-09-14,52,90000
P0007,Book,B00233,2026-07-05,22,85000
P0007,Book,B00234,2026-12-01,83,50000
P0007,Book,B00235,2026-09-15,4,75000
P0007,Book,B00236,2027-04-08,13,40000
P0007,Book,B00237,2027-04-24,65,25000
P0007,Book,B00238,2027-10-16,28,55000
P0007,Book,B00239,2027-05-27,89,70000
P0007,Book,B00240,2027-12-19,52,95000
P0007,Book,B00241,2027-04-20,27,35000
P0007,Book,B00242,2027-11-12,36,95000
P0007,Book,B00243,2027-08-13,3,55000
P0007,Book,B00244,2027-05-05,82,65000
P0007,Book,B00245,2027-05-18,71,100000
P0007,Book,B00246,2027-05-02,55,40000
P0007,Book,B00247,2026-10-22,55,55000
P0004,Tea,B00248,2026-11-21,30,80000
P0004,Tea,B00249,2027-09-03,28,100000
P0004,Tea,B00250,2027-01-07,30,25000
P0004,Tea,B00251,2027-03-18,47,100000
P0004,Tea,B00252,2027-11-15,29,20000
P0004,Tea,B00253,2026-09-06,1,70000
P0004,Tea,B00254,2027-06-26,10,25000
P0004,Tea,B00255,2026-07-02,57,65000
P0004,Tea,B00256,2027-03-16,9,10000
P0004,Tea,B00257,2026-10-02,72,40000
P0004,Tea,B00258,2027-12-28,50,40000
P0004,Tea,B00259,2027-04-18,92,95000
P0004,Tea,B00260,2026-07-08,67,90000
P0004,Tea,B00261,2026-12-24,41,10000
P0004,Tea,B00262,2027-01-18,54,15000
P0004,Tea,B00263,2027-04-20,82,20000
P0004,Tea,B00264,2027-05-28,37,45000
P0004,Tea,B00265,2027-12-26,69,85000
P0004,Tea,B00266,2027-06-06,20,50000
P0004,Tea,B00267,2026-07-04,29,55000
P0004,Tea,B00268,2027-01-22,28,25000
P0004,Tea,B00269,2026-08-04,34,75000
P0004,Tea,B00270,2027-01-25,99,75000
P0004,Tea,B00271,2026-07-06,41,10000
P0004,Tea,B00272,2027-07-27,33,85000
