action,barcode,productName,batchCode,expiryDate,quantity,price
ADD,P0020,Sugar,B100001,2026-09-15,48,70000
ADD,P0003,Coffee,B100002,2027-08-27,86,75000
ADD,P0006,Medicine,B100003,2026-07-05,49,10000
ADD,P0013,Noodles,B100004,2027-03-02,45,10000
ADD,P0003,Coffee,B100005,2027-03-20,47,75000
ADD,P0012,Chocolate,B100006,2026-11-13,21,70000
ADD,P0010,Candy,B100007,2026-08-28,3,70000
ADD,P0011,Water,B100008,2027-04-11,45,85000
ADD,P0009,Cake,B100009,2027-05-17,18,35000
ADD,P0008,Juice,B100010,2027-05-20,26,35000
ADD,P0006,Medicine,B100011,2026-07-04,40,70000
ADD,P0014,Soap,B100012,2027-11-19,74,30000
ADD,P0014,Soap,B100013,2027-12-03,58,10000
ADD,P0013,Noodles,B100014,2026-11-04,37,30000
ADD,P0002,Bread,B100015,2027-12-18,35,90000
ADD,P0013,Noodles,B100016,2027-01-28,62,20000
ADD,P0015,Shampoo,B100017,2027-07-26,61,10000
ADD,P0012,Chocolate,B100018,2027-10-11,18,75000
ADD,P0002,Bread,B100019,2026-12-19,90,55000
ADD,P0011,Water,B100020,2027-05-20,22,75000
ADD,P0015,Shampoo,B100021,2027-10-05,70,25000
ADD,P0012,Chocolate,B100022,2026-10-29,28,90000
ADD,P0005,Rice,B100023,2026-07-31,37,80000
ADD,P0005,Rice,B100024,2027-10-10,4,75000
ADD,P0012,Chocolate,B100025,2026-11-08,58,60000
ADD,P0014,Soap,B100026,2027-07-08,22,80000
ADD,P0012,Chocolate,B100027,2027-07-18,73,95000
ADD,P0013,Noodles,B100028,2026-09-28,65,75000
ADD,P0017,Egg,B100029,2027-12-09,77,55000
ADD,P0017,Egg,B100030,2027-03-25,46,100000
ADD,P0018,Cheese,B100031,2027-01-07,3,10000
ADD,P0001,Milk,B100032,2026-12-16,98,75000
ADD,P0008,Juice,B100033,2027-09-18,64,100000
ADD,P0009,Cake,B100034,2026-07-07,1,75000
ADD,P0002,Bread,B100035,2027-07-03,8,45000
ADD,P0010,Candy,B100036,2026-07-02,14,65000
