action,barcode,quantity
DISPATCH,P0013,18
DISPATCH,P0014,22
DISPATCH,P0010,39
DISPATCH,P0012,29
DISPATCH,P0015,2
DISPATCH,P0007,15
DISPATCH,P0017,48
DISPATCH,P0010,39
DISPATCH,P0002,42
DISPATCH,P0018,8
DISPATCH,P0010,20
DISPATCH,P0014,10
DISPATCH,P0015,43
DISPATCH,P0009,35
DISPATCH,P0018,43
DISPATCH,P0001,10
DISPATCH,P0002,7
DISPATCH,P0001,27
DISPATCH,P0010,42
DISPATCH,P0008,47
DISPATCH,P0011,47
DISPATCH,P0005,5
DISPATCH,P0010,27
DISPATCH,P0020,42
DISPATCH,P0011,37
DISPATCH,P0018,23
DISPATCH,P0019,7
DISPATCH,P0009,1
DISPATCH,P0013,14
DISPATCH,P0014,26
DISPATCH,P0008,21
DISPATCH,P0016,25
DISPATCH,P0017,18
DISPATCH,P0015,9
DISPATCH,P0006,14
DISPATCH,P0005,34
DISPATCH,P0008,27
DISPATCH,P0006,13
DISPATCH,P0006,50
DISPATCH,P0016,31
DISPATCH,P0006,40
DISPATCH,P0005,23
DISPATCH,P0002,4
DISPATCH,P0012,10
DISPATCH,P0008,28
DISPATCH,P0015,42
DISPATCH,P0003,50
DISPATCH,P0013,8
DISPATCH,P0018,17
DISPATCH,P0005,8
DISPATCH,P0015,5
DISPATCH,P0009,17
DISPATCH,P0010,10
DISPATCH,P0009,50
DISPATCH,P0015,13
DISPATCH,P0003,6
DISPATCH,P0003,3
DISPATCH,P0020,37
DISPATCH,P0007,34
DISPATCH,P0010,48
DISPATCH,P0007,45
DISPATCH,P0008,17
DISPATCH,P0002,24
DISPATCH,P0003,45
DISPATCH,P0001,32
DISPATCH,P0019,50
DISPATCH,P0006,1
DISPATCH,P0003,16
DISPATCH,P0019,36
DISPATCH,P0015,21
DISPATCH,P0019,23
DISPATCH,P0011,17
DISPATCH,P0018,41
DISPATCH,P0018,13
DISPATCH,P0016,8
DISPATCH,P0018,1
DISPATCH,P0020,47
DISPATCH,P0018,34
DISPATCH,P0005,18
DISPATCH,P0010,12
DISPATCH,P0013,47
DISPATCH,P0019,50
DISPATCH,P0005,46
DISPATCH,P0005,19
DISPATCH,P0011,27
DISPATCH,P0018,27
DISPATCH,P0009,30
DISPATCH,P0015,34
DISPATCH,P0011,50
DISPATCH,P0014,8
DISPATCH,P0002,37
DISPATCH,P0013,36
DISPATCH,P0019,18
DISPATCH,P0016,5
DISPATCH,P0011,44
DISPATCH,P0008,38
DISPATCH,P0014,39
DISPATCH,P0002,9
DISPATCH,P0019,17
DISPATCH,P0014,12
